path	organism	taxa1	taxa2	taxa3	GenomeSize	Coding	GeneSize	AlternativeSplicingRatio
GCF_000010525.1_ASM1052v1	Azorhizobium caulinodans ORS 571	Bacteria	Bacteria	Bacteria	5369772	4716340	4745033	1.00094
GCF_000021065.1_ASM2106v1	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Bacteria	Bacteria	Bacteria	641895	559422	568244	1.00082
GCF_000218545.1_ASM21854v1	Cellulomonas gilvus ATCC 13127	Bacteria	Bacteria	Bacteria	3526441	3185748	3206744	1.00128
GCF_000020965.1_ASM2096v1	Dictyoglomus thermophilum H-6-12	Bacteria	Bacteria	Bacteria	1959987	1821332	1843632	1.00355
GCF_000012885.1_ASM1288v1	Syntrophotalea carbinolica DSM 2380	Bacteria	Bacteria	Bacteria	3665893	3138266	3159606	1.00115
GCF_017068195.1_ASM1706819v1	Shewanella putrefaciens	Bacteria	Bacteria	Bacteria	4386237	3669758	3721383	1.00068
GCF_019895115.1_ASM1989511v1	Myxococcus xanthus	Bacteria	Bacteria	Bacteria	9346321	8388616	8431304	1.00128
GCF_000219105.1_ASM21910v1	Corallococcus macrosporus	Bacteria	Bacteria	Bacteria	9003593	7649137	7687894	1.00117
GCF_000165485.1_ASM16548v1	Stigmatella aurantiaca DW4/3-1	Bacteria	Bacteria	Bacteria	10260756	9148637	9182277	1.00127
GCF_002305875.1_ASM230587v1	Cystobacter fuscus	Bacteria	Bacteria	Bacteria	12349744	10844391	10888643	1.00095
GCF_001027285.1_ASM102728v1	Archangium gephyra	Bacteria	Bacteria	Bacteria	12489432	11113613	11155715	1.00096
GCF_001189295.1_ASM118929v1	Chondromyces crocatus	Bacteria	Bacteria	Bacteria	11388132	9804598	9843451	1.00085
GCF_000418325.1_ASM41832v1	Sorangium cellulosum So0157-2	Bacteria	Bacteria	Bacteria	14782125	12243761	12289641	1.0011
GCF_002222655.1_ASM222265v1	Vitreoscilla filiformis	Bacteria	Bacteria	Bacteria	3787551	3470874	3496921	1.00238
GCF_002355975.1_ASM235597v1	Lysobacter enzymogenes	Bacteria	Bacteria	Bacteria	6096022	5154202	5177263	1.00073
GCF_002951835.1_ASM295183v1	Simonsiella muelleri ATCC 29453	Bacteria	Bacteria	Bacteria	2469862	2070419	2103282	1.0011
GCF_006738645.1_ASM673864v1	Stella humosa	Bacteria	Bacteria	Bacteria	5832650	5367925	5396568	1.00169
GCF_000222485.1_ASM22248v1	Cyclobacterium marinum DSM 745	Bacteria	Bacteria	Bacteria	6221273	5336184	5363265	1.00089
GCF_000218895.1_ASM21889v1	Runella slithyformis DSM 19594	Bacteria	Bacteria	Bacteria	6919729	6039460	6063714	1.00093
GCF_901538385.1_ASM90153838v1	Gemmata obscuriglobus UQM 2246	Bacteria	Bacteria	Bacteria	9032617	7381637	7429602	1.00112
GCF_000165715.2_ASM16571v3	Rubinisphaera brasiliensis DSM 5305	Bacteria	Bacteria	Bacteria	6006602	5043798	5065171	1.00078
